date,VOO,QQQ,VEA,IEMG,SGOV,IEF,SCHP,DBMF,SGOL,BITB,CAOS,VXUS,BND
2013-05-17,121.970268,66.598213,26.139620,36.606125,80.021184,79.671417,20.115681,16.589858,13.362000,,71.727287,33.823933,56.749142
2013-05-20,121.970268,66.499596,26.273636,36.719482,80.003706,79.611832,20.112156,16.549676,13.777000,,71.711621,34.086544,56.735523
2013-05-21,122.129868,66.571312,26.313841,36.733650,80.021184,79.820465,20.164976,16.601911,13.550000,,71.727287,34.106754,56.790131
2013-05-22,121.316124,65.988686,26.079311,36.322739,80.021184,79.187126,19.978336,16.521554,13.454000,,71.727287,33.749855,56.599197
2013-05-23,120.885269,65.836296,25.683969,36.039360,80.021184,79.269058,19.974812,16.529588,13.725000,,71.727287,33.392967,56.592369
2013-05-24,120.725746,65.800453,25.482946,35.805565,80.021184,79.298859,19.988901,16.549676,13.637000,,71.727287,33.096684,56.599197
2013-05-28,121.587311,66.230705,25.529854,35.954350,80.003706,78.367439,19.812815,16.465301,13.608000,,71.711621,33.137077,56.285496
2013-05-29,120.661827,65.917000,25.308723,35.635536,80.021184,78.687866,19.809296,16.453251,13.744000,,71.727287,32.894653,56.333206
2013-05-30,121.188400,66.266518,25.429335,35.564690,80.003706,78.695297,19.738861,16.461286,13.932000,,71.711621,33.029335,56.285496
2013-05-31,119.417267,65.657028,24.920088,34.870415,80.021184,78.479218,19.738861,16.397001,13.643000,,71.727287,32.329014,56.190014
2013-06-03,120.039597,65.773567,25.087601,35.366322,80.021184,78.592644,19.760027,16.256371,13.908000,,71.727287,32.645515,56.138775
2013-06-04,119.672569,65.432961,25.141205,34.990837,80.021184,78.391159,19.710636,16.300567,13.782000,,71.727287,32.537773,56.118279
2013-06-05,117.837563,64.581444,24.578335,34.409904,80.021184,78.771698,19.717693,16.268426,13.820000,,71.727287,31.945198,56.097813
2013-06-06,118.763115,64.895142,24.719061,34.664948,80.003706,78.868645,19.700068,16.176014,13.914000,,71.711621,32.140469,56.172951
2013-06-07,120.422478,65.782509,25.007198,34.424065,80.021184,78.256859,19.573078,16.272440,13.587000,,71.727287,32.335766,56.029442
2013-06-10,120.374649,65.809402,25.020592,33.991905,80.003706,78.062836,19.467253,16.312622,13.651000,,71.711621,32.308815,55.885952
2013-06-11,119.146004,65.155098,24.705660,33.403893,80.021184,78.256859,19.428452,16.248336,13.582000,,71.727287,31.857662,55.913319
2013-06-12,118.220566,64.402161,24.692253,33.191353,80.003706,77.906174,19.294416,16.276459,13.677000,,71.711621,31.803795,55.803963
2013-06-13,119.927925,65.217827,25.074192,33.736862,80.021184,78.495651,19.417873,16.236283,13.629000,,71.727287,32.288624,56.049919
2013-06-14,119.193909,64.787582,24.779367,33.219688,80.003706,78.600121,19.424923,16.236283,13.699000,,71.711621,31.891321,56.111431
2013-06-17,120.151245,65.415039,25.134502,33.524319,80.003706,78.413536,19.350861,16.196107,13.640000,,71.711621,32.315571,56.070450
2013-06-18,121.076675,65.952850,25.288626,33.588085,80.003706,78.368797,19.400234,16.248336,13.474000,,71.711621,32.483906,56.022568
2013-06-19,119.465118,65.217827,24.826273,32.660011,80.003706,77.294304,19.163910,16.312622,13.317000,,71.711621,31.850927,55.694641
2013-06-20,116.433418,63.667145,23.901566,31.235996,80.003706,76.943619,18.945206,16.529588,12.598000,,71.711621,30.800447,55.189037
2013-06-21,116.800423,63.329067,23.981977,31.689415,80.021184,76.130295,18.719469,16.593875,12.749000,,71.727287,30.867790,54.963520
2013-06-24,115.323395,62.699635,23.570314,31.129728,80.021184,75.943787,18.634804,16.662180,12.635000,,71.727287,30.253048,54.697056
2013-06-25,116.478081,63.158222,23.910528,31.618572,80.021184,75.854225,18.691248,16.662180,12.580000,,71.727287,30.648764,54.826839
2013-06-26,117.568634,63.724674,24.019402,32.100319,80.021184,76.160149,18.772377,16.742534,12.055000,,71.727287,30.846628,55.018169
2013-06-27,118.354446,63.994465,24.277969,32.633724,80.003706,76.570534,18.934631,16.770662,11.817000,,71.711621,31.201439,55.236832
2013-06-28,117.616737,64.084396,24.223534,32.934040,80.003706,76.481041,18.980480,16.822897,12.143000,,71.711621,31.167315,55.264160
2013-07-01,118.498711,64.480049,24.468493,32.948338,80.021184,76.510170,19.026337,16.826911,12.343000,,71.727287,31.412951,55.357956
2013-07-02,118.322350,64.506973,24.346012,32.476421,80.003706,76.540047,19.086306,16.891196,12.242000,,71.711621,31.235544,55.371620
2013-07-03,118.434601,64.767738,24.339211,32.254772,80.021184,76.390556,19.054550,16.903251,12.305000,,71.727287,31.160496,55.330597
2013-07-05,119.749657,65.262321,24.441275,31.997356,80.021184,75.105484,18.779428,17.148344,12.043000,,71.727287,31.283308,54.714355
2013-07-08,120.375107,65.325264,24.570559,31.990202,79.986228,75.546295,18.895834,17.039862,12.179000,,71.695954,31.419765,54.960846
2013-07-09,121.289246,65.720901,24.720253,32.347721,79.986228,75.673340,18.895834,17.055932,12.298000,,71.695954,31.631285,55.022491
2013-07-10,121.321320,66.098557,24.767893,32.118908,79.986228,75.404305,18.853508,17.043875,12.325000,,71.695954,31.644922,54.885506
2013-07-11,123.037315,67.411346,25.448328,33.513214,79.986228,76.158981,18.945206,16.863071,12.662000,,71.695954,32.600132,55.255260
2013-07-12,123.069382,67.708038,25.305429,33.184299,79.986228,76.099197,18.994591,16.983609,12.649000,,71.695954,32.388630,55.179951
2013-07-15,123.518387,67.860939,25.455112,33.620461,79.986228,76.338280,19.058090,16.999681,12.656000,,71.695954,32.586498,55.330597
2013-07-16,123.053314,67.771011,25.421101,33.699112,79.986228,76.375664,19.121578,16.903251,12.733000,,71.695954,32.600132,55.412754
2013-07-17,123.358086,67.941841,25.516361,33.942223,79.986228,76.711884,19.181545,16.971557,12.573000,,71.695954,32.750252,55.535976
2013-07-18,124.063713,67.771011,25.666058,33.663361,80.003706,76.353264,19.114529,16.987630,12.640000,,71.711621,32.866226,55.446980
2013-07-19,124.288193,67.069611,25.638836,33.548962,80.003706,76.771645,19.245026,16.955486,12.748000,,71.711621,32.845776,55.590790
2013-07-22,124.512695,67.267479,25.774933,33.806374,80.003706,76.764145,19.255610,16.851022,13.139000,,71.711621,33.036816,55.624992
2013-07-23,124.256165,66.772919,25.808943,34.163879,80.003706,76.674507,19.195642,16.867088,13.238000,,71.711621,33.186916,55.611301
2013-07-24,123.791069,66.988739,25.781727,33.792061,80.021184,76.158981,19.036921,16.939412,13.011000,,71.727287,33.050442,55.433277
2013-07-25,124.015541,67.411346,25.808943,34.035183,79.986228,76.271004,19.051027,16.919323,13.118000,,71.695954,33.118675,55.412754
2013-07-26,124.175903,67.771011,25.666058,33.985119,79.986228,76.338280,19.054550,16.927362,13.133000,,71.695954,32.961758,55.453815
2013-07-29,123.807076,67.645134,25.441515,33.577560,80.003706,76.181442,19.033398,16.987630,13.106000,,71.711621,32.661530,55.446980
2013-07-30,123.823143,68.004768,25.434706,33.484612,79.986228,76.158981,19.036921,16.971557,13.063000,,71.695954,32.593307,55.412754
2013-07-31,123.855202,68.130699,25.482340,33.277245,80.003706,76.211288,19.132164,16.967539,13.039000,,71.711621,32.606956,55.474339
2013-08-01,125.362679,68.823090,25.836164,33.806374,79.986228,75.538673,19.025892,17.116200,12.907000,,71.695954,33.023163,55.204041
2013-08-02,125.555138,69.209709,26.040297,33.863567,80.003706,76.182129,19.107094,17.092094,12.878000,,71.711621,33.186916,55.382381
2013-08-05,125.474998,69.254646,26.013079,33.656212,80.003706,75.942696,19.107094,17.092094,12.822000,,71.711621,33.084560,55.403046
2013-08-06,124.721207,68.841011,25.958645,33.284405,80.003706,75.965118,19.170649,17.080036,12.642000,,71.711621,32.995861,55.368690
2013-08-07,124.288193,68.715134,25.808943,32.934040,79.986228,76.241928,19.220070,17.031820,12.652000,,71.695954,32.763905,55.451019
2013-08-08,124.721207,69.056847,26.040297,33.527515,79.986228,76.354225,19.237720,16.931379,12.933000,,71.695954,33.200558,55.478474
2013-08-09,124.368332,68.778099,26.053907,33.620461,80.003706,76.406502,19.255371,16.955486,12.931000,,71.711621,33.261967,55.547077
2013-08-12,124.208000,68.939934,26.013079,33.842117,80.003706,76.256912,19.191830,16.903251,13.165000,,71.711621,33.255135,55.444172
2013-08-13,124.689171,69.326576,26.210402,34.028027,80.003706,75.568542,19.043547,16.991645,13.024000,,71.711621,33.466663,55.252075
2013-08-14,123.983482,69.065826,26.217197,34.128124,80.003706,75.635872,18.997644,16.975572,13.144000,,71.711621,33.453011,55.224625
