date,VOO,QQQ,VEA,IEMG,SGOV,IEF,SCHP,DBMF,SGOL,BITB,CAOS,VXUS,BND
2023-08-15,-1.146409,-1.061164,-1.393415,-0.977392,0.00998,-0.191537,-0.311296,-0.071826,-0.328584,-0.809617,-0.379165,-1.23479,-0.224903
2023-08-16,-0.739558,-1.058903,-0.794871,-0.863676,0.019931,-0.383827,-0.214693,0.035939,-0.494506,-1.606317,-0.44199,-0.779131,-0.281691
2023-08-17,-0.809414,-1.092315,-0.667715,0.269653,0.039829,-0.128408,-0.078219,0.0,-0.165658,-7.097917,0.037004,-0.438273,-0.09889
2023-08-18,0.092332,-0.125482,0.0,-0.64128,0.009947,0.300053,0.137002,0.035926,-0.055311,-2.306411,-0.049311,-0.165081,0.212147
2023-08-19,,,,,,,,,,0.179076,,,
2023-08-20,,,,,,,,,,0.357826,,,
2023-08-21,,,,,,,,,,-0.249883,,,
2023-08-22,-0.279893,-0.142905,-0.223373,-0.186794,0.009945,0.043035,0.196064,-0.285726,0.165556,-0.354019,-0.057859,-0.183179,0.127668
2023-08-23,1.077967,1.576866,1.074544,1.517988,0.029883,1.085317,0.919572,-1.074489,1.101933,1.536531,0.320279,1.192867,0.90622
2023-08-24,-1.329399,-2.137568,-1.26244,-0.327738,0.039772,-0.372082,-0.426523,0.217219,-0.054497,-1.018732,-0.184187,-1.106272,-0.238543
2023-08-25,0.662443,0.775126,0.628062,0.123312,0.009963,-0.031995,-0.038942,0.397424,-0.109054,-0.438435,0.109481,0.531828,0.0
2023-08-26,,,,,,,,,,-0.150513,,,
2023-08-27,,,,,,,,,,0.312323,,,
2023-08-28,,,,,,,,,,0.063079,,,
2023-08-29,1.420648,2.184003,1.279494,1.301622,0.019894,0.713189,0.467317,-0.540547,0.925422,6.210192,0.186485,1.283225,0.617781
2023-08-30,0.416811,0.557677,-0.021788,-0.321224,0.0,-0.010608,-0.116292,0.507244,0.269683,-1.551271,-0.001233,-0.035688,-0.04184
2023-08-31,-0.127907,0.299843,-0.326793,-1.188318,0.049711,0.200817,0.194007,-0.432583,-0.107587,-5.003406,0.001233,-0.571241,0.167523
2023-09-01,0.212646,-0.105837,0.153014,1.141464,0.030913,-0.611259,-0.503095,0.362056,-0.053852,-0.504206,-0.023273,0.412924,-0.480753
2023-09-02,,,,,,,,,,0.263846,,,
2023-09-03,,,,,,,,,,0.389533,,,
2023-09-04,,,,,,,,,,-0.605133,,,
2023-09-05,,,,,,,,,,-0.125651,,,
2023-09-06,-0.690255,-0.880799,-0.396385,-0.547891,0.019993,-0.256895,-0.156487,0.1072,-0.488335,-0.103748,-0.044058,-0.342651,-0.112955
2023-09-07,-0.297507,-0.715153,-0.397981,-0.979395,0.049838,0.343442,0.333042,-0.678326,0.163581,1.890865,-0.003672,-0.560986,0.339277
2023-09-08,0.136974,0.139746,-0.133187,0.185438,0.009976,0.021382,0.234264,0.467302,-0.054438,-1.274918,0.063671,-0.054594,0.028217
2023-09-09,,,,,,,,,,-0.038511,,,
2023-09-10,,,,,,,,,,-0.245026,,,
2023-09-11,,,,,,,,,,-2.592004,,,
2023-09-12,-0.536302,-1.108844,-0.439552,-0.365917,0.009957,0.139255,0.019507,0.249727,-0.489397,2.665416,-0.020784,-0.414106,0.070521
2023-09-13,0.117119,0.380903,-0.198678,-0.122432,0.029886,0.117705,0.155913,-0.106758,-0.163928,1.528956,0.085609,-0.216961,0.155074
2023-09-14,0.865106,0.81772,1.349267,0.694588,0.029877,-0.224398,-0.15567,0.641265,-0.054736,1.187074,0.041551,1.105269,-0.168895
2023-09-15,-1.246672,-1.712297,-0.218264,-0.405771,0.019909,-0.310559,-0.253348,0.212383,0.7667,0.260062,0.062287,-0.232977,-0.197364
2023-09-16,,,,,,,,,,-0.151876,,,
2023-09-17,,,,,,,,,,-0.128325,,,
2023-09-18,,,,,,,,,,0.829472,,,
2023-09-19,-0.200397,-0.213131,0.022099,-0.571206,0.009956,-0.364895,-0.272933,0.317899,0.0,1.707525,-0.002441,-0.072496,-0.211682
2023-09-20,-0.93542,-1.441075,-0.331492,-0.348786,0.029856,-0.075407,-0.175965,-0.422522,0.0,-0.290724,-0.131906,-0.308302,-0.127242
